Year,Month,Week,Unique_Invoices,Total_Quantity,Total_Revenue
2010,12,48,402,83645,149386.33
2010,12,49,489,101373,213447.72
2010,12,50,401,96438,163770.73
2010,12,51,108,30809,46109.11
2011,1,1,224,70192,114865.27
2011,1,2,233,76993,154714.94
2011,1,3,206,131357,175757.98
2011,1,4,267,58130,105288.77
2011,1,5,57,12426,18818.08
2011,2,5,215,52690,87277.15
2011,2,6,197,47539,88015.42
2011,2,7,267,76975,126050.4
2011,2,8,267,79998,130687.36
2011,2,9,51,8420,15107.02
2011,3,9,216,57348,102493.8
2011,3,10,269,63689,112338.0
2011,3,11,304,83541,138278.82
2011,3,12,299,73000,129918.43
2011,3,13,233,70925,112471.71
2011,4,13,87,23980,31505.32
2011,4,14,295,64537,119961.92
2011,4,15,344,84318,135142.201
2011,4,16,248,74098,116090.02
2011,4,17,175,45289,66500.9
2011,5,17,18,3819,6973.66
2011,5,18,343,73747,131329.18
2011,5,19,387,101732,178850.25
2011,5,20,429,104035,196269.92
2011,5,21,327,79661,146976.9
2011,5,22,51,10607,18194.65
2011,6,22,187,44043,84177.25
2011,6,23,373,92186,194019.08
2011,6,24,341,99233,171940.3
2011,6,25,304,70174,112818.82
2011,6,26,188,58063,98258.24
2011,7,26,67,10571,18221.68
2011,7,27,310,79594,131383.74
2011,7,28,305,75280,118297.88
2011,7,29,325,102039,167519.81
2011,7,30,324,101936,164667.901
2011,8,31,302,99193,156185.19
2011,8,32,256,91298,143652.21
2011,8,33,309,98414,168080.69
2011,8,34,348,93454,148051.26
2011,8,35,65,15762,29374.55
2011,9,35,189,54187,84672.23
2011,9,36,379,103842,167004.06
2011,9,37,347,115691,209167.98
2011,9,38,447,163655,309569.211
2011,9,39,393,107522,182424.901
2011,10,39,34,8375,11582.95
2011,10,40,472,165447,297116.86
2011,10,41,429,111779,204423.28
2011,10,42,429,147501,255461.64
2011,10,43,502,145627,237685.49
2011,10,44,63,15171,33048.57
2011,11,44,447,133669,227580.2
2011,11,45,608,156898,264765.98
2011,11,46,669,157615,277773.94
2011,11,47,594,142370,249532.68
2011,11,48,339,78499,142164.58
2011,12,48,294,61923,109623.64
2011,12,49,484,225490,408569.15
